formula,sites,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,total_magnetisation (bohr),energy_per_atom (eV/atom),formation_energy (eV/atom),energy_above_hull (eV/atom),density (g/cc),band_gap (eV),direct_bandgap,volume (cubic-angstrom)
Ce3SnN,5,Ce3 Sn1 N1,4.97328277,4.97332533,4.97330351,90.0,90.0,90.0,cubic,Pm-3m,3.0449487,-7.078435412,-1.04669557,0.0,7.466035505,0.0,False,123.0084615
CeAl3Ag,5,Ce1 Al3 Ag1,4.305624527,4.305624507,6.321598309,70.16755411,70.16752025,90.10063256,tet,I4mm,1.030045,-4.353065484,-0.349742476,0.0,5.31349794,0.0,False,102.7946477
CeAl3Au,5,Ce1 Al3 Au1,6.250577623,6.250577623,6.250577623,139.5892607,139.5892607,58.47748186,tet,I4mm,0.9612973,-4.669232456,-0.579720584,0.0,6.826720171,0.0,False,101.681401
CeAl3Cu,5,Ce1 Al3 Cu1,6.094870783,6.094870783,6.094870783,139.4241182,139.4241182,58.72874578,tet,I4mm,0.9327153,-12.86933641,-0.492592462,0.0,4.980354881,0.0,False,94.89291736
CeAlO3,20,Ce1 Al1 O3,5.29975512,5.35162614,7.53646362,90.0,90.0,90.0,ortho,Imma,4.0000001,-8.525620271,-3.620338528,0.0,6.683927318,0.0,False,213.7515027
CeBO3,20,Ce1 B1 O3,5.07545184,5.77348995,8.22244861,90.0,90.0,90.0,ortho,Pnma,4.0000001,-8.904444915,-3.412399984,0.0,5.483837777,0.0587,False,240.9429888
CeBPt3,5,Ce1 B1 Pt3,3.99756756,3.99756756,5.14411559,90.0,90.0,90.0,tet,P4mm,0.9056964,-39.51828141,-0.988254681,0.0,14.87065777,0.0,False,82.20577786
CeBRh3,5,Ce1 B1 Rh3,4.21149204,4.2115074,4.21148897,90.0,90.0,90.0,cubic,Pm-3m,0.1962417,-22.91903898,-0.799905212,0.0,10.21788477,0.0,False,74.6980423
CeCoGe3,5,Ce1 Co1 Ge3,4.297285198,4.297286285,5.75826604,111.9094544,111.9094359,89.9999953,tet,I4mm,0.9140908,-5.958657668,-0.570767637,0.0,7.665580972,0.0,False,90.32500477
CeCoSb3,40,Ce1 Co1 Sb3,6.174765298,12.11587185,12.79168944,90.00072113,90.03978436,90.00042549,ortho,Pbcm,6.4822489,-5.759325206,-0.667851144,0.0,7.83373137,0.0,False,956.9801469
CeCoSi3,5,Ce1 Co1 Si3,5.54809688,5.54809688,5.54809688,136.673224,136.673224,62.94121987,tet,I4mm,0.0033292,-6.527114158,-0.657850022,0.0,5.925122785,0.0,False,79.39754017
CeCrGe3,10,Ce1 Cr1 Ge3,6.10950878,6.109507322,5.94625055,90.0,90.0,120.0000135,hex_,P6_3/mmc,3.0485012,-6.317880738,-0.426064557,0.0,7.084524239,0.0,False,192.2145504
CeCrS3,20,Ce1 Cr1 S3,3.77068444,7.86657679,13.07550999,90.0,90.0,90.0,ortho,Pnma,15.9356442,-7.27207448,-1.671059271,0.0,4.937417072,0.0,False,387.850729
CeCrSe3,20,Ce1 Cr1 Se3,3.95426344,8.21435316,13.73207985,90.0,90.0,90.0,ortho,Pnma,16.0008775,-6.686768557,-1.471222202,0.0,6.3882675,0.0,False,446.041523
CeDyS3,20,Ce1 Dy1 S3,4.0179022,7.43522514,15.31969114,90.0,90.0,90.0,ortho,Pnma,4.0002259,-19.78914345,-2.4036576,0.0,5.78805598,0.0,False,457.6605672
CeFeGe3,5,Ce1 Fe1 Ge3,4.337515044,4.33751496,5.817986844,111.8863991,111.8863996,90.00001103,tet,I4mm,1.9413085,-6.159665924,-0.504454995,0.0,7.38881174,0.0,False,93.01435651
CeGa3Au,5,Ce1 Ga3 Au1,4.339874232,4.339777339,6.163721618,69.54943372,69.54761994,90.14533346,tet,I4mm,1.0052469,-4.216508252,-0.557484264,0.0,8.991350438,0.0,False,100.8827402
CeGa3Cu,5,Ce1 Ga3 Cu1,6.024622254,6.024622254,6.024622254,139.2127503,139.2127503,59.05059915,tet,I-4m2,0.8974445,-15.73066232,-0.527511802,0.0,7.417516502,0.0,False,92.41934322
CeGa3Pd,10,Ce1 Ga3 Pd1,6.067060161,6.067060161,5.85096203,90.0,90.0,116.5099518,ortho,Cmcm,2.0792645,-4.724782547,-0.684558597,0.0,7.852816309,0.0,False,192.724731
CeGe3Ir,5,Ce1 Ge3 Ir1,4.418200719,4.418200412,5.924727068,111.8921749,111.892168,89.999992,tet,I4mm,0.9814486,-6.383733436,-0.654839913,0.0,9.298201204,0.0,False,98.26810401
CeGe3Rh,5,Ce1 Ge3 Rh1,5.912687084,5.912687084,5.912687084,136.2746128,136.2746128,63.55606405,tet,I4mm,0.9649512,-6.122171596,-0.688103335,0.0,7.852933349,0.0,False,97.46821145
CeGe3Ru,40,Ce1 Ge3 Ru1,9.03402787,9.03402787,9.03402787,90.0,90.0,90.0,cubic,Pm-3n,2.8677902,-6.418039504,-0.601952309,0.0,8.271947605,0.0,False,737.300075
CeNiSb3,40,Ce1 Ni1 Sb3,6.217198126,12.08356078,12.51647355,90.00087633,89.9912925,90.00095176,ortho,Pbcm,0.2107878,-5.528747881,-0.707929827,0.0,7.969212437,0.0,False,940.3112221
CeRu3C,5,Ce1 Ru3 C1,4.15944336,4.15944336,4.15944336,90.0,90.0,90.0,cubic,Pm-3m,3.87e-05,-8.838676454,-0.240911858,0.0,10.50693653,0.0,False,71.9624009
CeScS3,20,Ce1 Sc1 S3,6.5266654,7.18960587,9.59404885,90.0,90.0,90.0,ortho,Pnma,3.9999999,-15.58355319,-2.31473052,0.0,4.149821121,0.0,False,450.1926053
CeSi3Ir,5,Ce1 Si3 Ir1,5.760735721,5.760735721,5.760735721,136.835617,136.835617,62.69106985,tet,I4mm,0.8827733,-7.050214108,-0.83994648,0.0,7.828437386,0.0,False,88.36541769
CeSi3Os,5,Ce1 Si3 Os1,5.816297436,5.816297436,5.816297436,137.5367411,137.5367411,61.61324692,tet,I4mm,0.69443,-7.343072388,-0.65501811,0.0,7.765817587,0.0,False,88.65308007
CeSi3Pt,5,Ce1 Si3 Pt1,5.700786498,5.700786498,5.700786498,135.5022312,135.5022312,64.75083956,tet,I4mm,0.9400155,-6.454675248,-0.797867792,0.0,7.762667045,0.0,False,89.72739665
CeSi3Rh,5,Ce1 Si3 Rh1,5.749593511,5.749593511,5.749593511,136.9262954,136.9262954,62.55147273,tet,I4mm,0.9008611,-6.736205532,-0.820763166,0.0,6.20617166,0.0,False,87.56733368
CeSi3Ru,5,Ce1 Si3 Ru1,4.197605821,4.197605119,5.785440998,111.2706126,111.2706053,89.9999986,tet,I4mm,0.7879054,-7.019979984,-0.722518684,0.0,6.176059397,0.0,False,87.50077524
